object,label,training_label,prompt,metric,mean,sd
pouch,roll,no,put the roll on the tray,Mean Std,0.031346,0.01545
pouch,roll,no,put the roll on the tray,Max Std,0.075115,0.043945
pouch,roll,no,put the roll on the tray,Mean CV,0.145696,0.09398
pouch,roll,no,put the roll on the tray,Max CV,0.496683,0.56001
pouch,roll,no,put the roll on the tray,Action Mag,1.579389,0.336044
pouch,roll,no,put the roll on the tray,EE Consist,0.005414,0.002241
pouch,roll,no,put the roll on the tray,Peak Disp,39.1234,29.289
pouch,roll,no,put the roll on the tray,No-Move %,19.8,39.9
pouch,roll,no,put the roll on the tray,GT Dist,6.4479,10.3118
pouch,box,no,put the box on the tray,Mean Std,0.0303,0.01467
pouch,box,no,put the box on the tray,Max Std,0.070874,0.039652
pouch,box,no,put the box on the tray,Mean CV,0.116635,0.049048
pouch,box,no,put the box on the tray,Max CV,0.334706,0.190308
pouch,box,no,put the box on the tray,Action Mag,1.582173,0.335628
pouch,box,no,put the box on the tray,EE Consist,0.005362,0.002308
pouch,box,no,put the box on the tray,Peak Disp,39.9481,29.4785
pouch,box,no,put the box on the tray,No-Move %,21.5,40.5
pouch,box,no,put the box on the tray,GT Dist,6.3098,10.4726
toy,toy,yes,put the toy on the tray,Mean Std,0.031792,0.011128
toy,toy,yes,put the toy on the tray,Max Std,0.069919,0.02591
toy,toy,yes,put the toy on the tray,Mean CV,0.16407,0.097208
toy,toy,yes,put the toy on the tray,Max CV,0.502365,0.425652
toy,toy,yes,put the toy on the tray,Action Mag,1.500562,0.326609
toy,toy,yes,put the toy on the tray,EE Consist,0.005719,0.001696
toy,toy,yes,put the toy on the tray,Peak Disp,43.3598,30.462
toy,toy,yes,put the toy on the tray,No-Move %,9.1,27.3
toy,toy,yes,put the toy on the tray,GT Dist,3.509,3.244
toy,plush toy,no,put the plush toy on the tray,Mean Std,0.032616,0.010881
toy,plush toy,no,put the plush toy on the tray,Max Std,0.071646,0.025149
toy,plush toy,no,put the plush toy on the tray,Mean CV,0.164761,0.096345
toy,plush toy,no,put the plush toy on the tray,Max CV,0.506512,0.413588
toy,plush toy,no,put the plush toy on the tray,Action Mag,1.502356,0.333305
toy,plush toy,no,put the plush toy on the tray,EE Consist,0.005828,0.001642
toy,plush toy,no,put the plush toy on the tray,Peak Disp,44.186,30.4518
toy,plush toy,no,put the plush toy on the tray,No-Move %,8.4,25.8
toy,plush toy,no,put the plush toy on the tray,GT Dist,4.4592,3.1734
toy,stuffed animal,no,put the stuffed animal on the tray,Mean Std,0.034956,0.008709
toy,stuffed animal,no,put the stuffed animal on the tray,Max Std,0.080562,0.028288
toy,stuffed animal,no,put the stuffed animal on the tray,Mean CV,0.15103,0.064364
toy,stuffed animal,no,put the stuffed animal on the tray,Max CV,0.439925,0.339527
toy,stuffed animal,no,put the stuffed animal on the tray,Action Mag,1.485917,0.337081
toy,stuffed animal,no,put the stuffed animal on the tray,EE Consist,0.006324,0.001492
toy,stuffed animal,no,put the stuffed animal on the tray,Peak Disp,45.8561,29.4814
toy,stuffed animal,no,put the stuffed animal on the tray,No-Move %,4.4,13.9
toy,stuffed animal,no,put the stuffed animal on the tray,GT Dist,6.2068,3.0881
